chemical_name,e_number,category,purpose,risk_level,health_concerns,safe_limit,aliases
Transglutaminase,INS 1109,Enzyme,Enzyme preparation,Minimal,Generally safe,ADI not specified,"E1109,TG"
Polyvinylpyrrolidone,INS 1201,Stabilizer,Stabilizer,Low,May affect nutrient absorption,ADI 0-50 mg/kg,"E1201,PVP"
Polyvinylpolypyrrolidone,INS 1202,Stabilizer,Stabilizer,Low,Generally safe,ADI 0-50 mg/kg,"E1202,PVPP"
Polyethylene Glycol,INS 1203,Solvent,"Solvent, carrier",Low,Generally safe,ADI 0-70 mg/kg,"E1203,PEG"
Alkaline-treated Starch,INS 1403,Thickener,Modified starch,Minimal,Generally safe,ADI not specified,E1403
Enzyme-treated Starch,INS 1405,Thickener,Modified starch,Minimal,Generally safe,ADI not specified,E1405
Distarch Phosphate,INS 1412,Thickener,Modified starch,Minimal,Generally safe,ADI not specified,E1412
Acetylated Distarch Phosphate,INS 1414,Thickener,Modified starch,Minimal,Generally safe,ADI not specified,E1414
Acetylated Starch,INS 1420,Thickener,Modified starch,Minimal,Generally safe,ADI not specified,E1420
Starch Sodium Octenyl Succinate,INS 1450,Thickener,Modified starch,Minimal,Generally safe,ADI 0-70 mg/kg,E1450
Sodium Tripolyphosphate,INS 1505,Sequestrant,Sequestrant,Low,High phosphorus concerns,ADI 0-70 mg/kg,"E1505,STPP"
Propylene Glycol,INS 1510,Humectant,"Humectant, solvent",Low,May cause irritation in high amounts,ADI 0-25 mg/kg,"E1510,Propylene Glycol"
Diacetin,INS 1517,Humectant,Humectant,Minimal,Generally safe,ADI not specified,"E1517,Diacetin"
Triacetin,INS 1518,Humectant,Humectant,Minimal,Generally safe,ADI not specified,"E1518,Triacetin"
Hydroxypropyl Methyl Cellulose,INS 1522,Thickener,Thickener,Minimal,Generally safe,ADI not specified,"E1522,HPMC"
Hydroxypropyl Cellulose,INS 1523,Thickener,Thickener,Minimal,Generally safe,ADI not specified,"E1523,HPC"
Methyl Cellulose,INS 1524,Thickener,Thickener,Minimal,Generally safe,ADI not specified,"E1524,MC"
Microcrystalline Cellulose,INS 1530,Thickener,"Thickener, anti-caking",Minimal,Generally safe,ADI not specified,"E1530,MCC"
Locust Bean Gum (hydrolyzed),INS 1540,Thickener,Thickener,Minimal,Generally safe,ADI not specified,E1540
Tara Gum,INS 1542,Thickener,Thickener,Minimal,Generally safe,ADI not specified,"E1542,Tara Gum"
Curdlan,INS 1548,Thickener,"Thickener, gelling agent",Minimal,Generally safe,ADI not specified,"E1548,Curdlan"
Inulin,INS 1552,Nutrient,Prebiotic fiber,Minimal,May cause digestive issues,ADI not specified,"E1552,Inulin"
Fructo-oligosaccharides,INS 1553,Nutrient,Prebiotic,Minimal,May cause digestive issues,ADI not specified,"E1553,FOS"
Galacto-oligosaccharides,INS 1554,Nutrient,Prebiotic,Minimal,May cause digestive issues,ADI not specified,"E1554,GOS"
Psyllium Husk,INS 1555,Nutrient,Dietary fiber,Minimal,Take with water,ADI not specified,"E1555,Psyllium"
Trehalose,INS 1558,Sweetener,Sugar substitute,Minimal,Generally safe,ADI not specified,"E1558,Trehalose"
Tagatose,INS 1559,Sweetener,Low-calorie sweetener,Minimal,Generally safe,ADI 0-30 mg/kg,"E1559,Tagatose"
Allulose,INS 1560,Sweetener,Rare sugar,Minimal,Generally safe,ADI not specified,"E1560,Allulose"
Lycasin,INS 1565,Sweetener,Sugar alcohol,Minimal,May cause digestive issues,ADI not specified,"E1565,Lycasin"
Hydrogenated Starch Hydrolysates,INS 1568,Sweetener,Sugar alcohol,Minimal,May cause digestive issues,ADI not specified,"E1568,HSH"
Icelandic Moss Extract,INS 1576,Stabilizer,Stabilizer,Minimal,Generally safe,ADI not specified,E1576
Carob Bean Gum,INS 1577,Thickener,Thickener,Minimal,Generally safe,ADI not specified,E1577
Chicle,INS 1578,Chewing Gum Base,Chewing gum base,Minimal,Generally safe,ADI not specified,"E1578,Chicle"
Gutta Percha,INS 1580,Chewing Gum Base,Chewing gum base,Minimal,Generally safe,ADI not specified,E1580
Paraffin,INS 1584,Glazing Agent,Glazing agent,Low,Generally safe,ADI not specified,"E1584,Paraffin Wax"
Mineral Oil (high viscosity),INS 1590,Glazing Agent,Glazing agent,Low,Generally safe,ADI 0-20 mg/kg,E1590
White Mineral Oil,INS 1593,Glazing Agent,Glazing agent,Low,Generally safe,ADI 0-20 mg/kg,E1593
Jojoba Oil,INS 1594,Glazing Agent,Glazing agent,Minimal,Generally safe,ADI not specified,"E1594,Jojoba Oil"
Polydimethylsiloxane,INS 1595,Anti-foaming Agent,Anti-foaming agent,Minimal,Generally safe,ADI 0-1.5 mg/kg,E1595
Food Additive E1110,INS 1110,Food Color,Food coloring agent,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1110,INS 1110"
Food Additive E1111,INS 1111,Food Color,Food coloring agent,High,May cause health issues in sensitive individuals,ADI 0-11 mg/kg,"E1111,INS 1111"
Food Additive E1112,INS 1112,Food Color,Food coloring agent,Minimal,Generally considered safe in food amounts,ADI not specified,"E1112,INS 1112"
Food Additive E1113,INS 1113,Food Color,Food coloring agent,Low,Generally considered safe in food amounts,ADI 0-13 mg/kg,"E1113,INS 1113"
Food Additive E1114,INS 1114,Food Color,Food coloring agent,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1114,INS 1114"
Food Additive E1115,INS 1115,Food Color,Food coloring agent,High,May cause health issues in sensitive individuals,ADI 0-15 mg/kg,"E1115,INS 1115"
Food Additive E1116,INS 1116,Food Color,Food coloring agent,Minimal,Generally considered safe in food amounts,ADI not specified,"E1116,INS 1116"
Food Additive E1117,INS 1117,Food Color,Food coloring agent,Low,Generally considered safe in food amounts,ADI 0-17 mg/kg,"E1117,INS 1117"
Food Additive E1118,INS 1118,Food Color,Food coloring agent,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1118,INS 1118"
Food Additive E1119,INS 1119,Food Color,Food coloring agent,High,May cause health issues in sensitive individuals,ADI 0-19 mg/kg,"E1119,INS 1119"
Food Additive E1120,INS 1120,Food Color,Food coloring agent,Minimal,Generally considered safe in food amounts,ADI not specified,"E1120,INS 1120"
Food Additive E1121,INS 1121,Food Color,Food coloring agent,Low,Generally considered safe in food amounts,ADI 0-21 mg/kg,"E1121,INS 1121"
Food Additive E1122,INS 1122,Food Color,Food coloring agent,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1122,INS 1122"
Food Additive E1123,INS 1123,Food Color,Food coloring agent,High,May cause health issues in sensitive individuals,ADI 0-23 mg/kg,"E1123,INS 1123"
Food Additive E1124,INS 1124,Food Color,Food coloring agent,Minimal,Generally considered safe in food amounts,ADI not specified,"E1124,INS 1124"
Food Additive E1125,INS 1125,Food Color,Food coloring agent,Low,Generally considered safe in food amounts,ADI 0-25 mg/kg,"E1125,INS 1125"
Food Additive E1126,INS 1126,Food Color,Food coloring agent,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1126,INS 1126"
Food Additive E1127,INS 1127,Food Color,Food coloring agent,High,May cause health issues in sensitive individuals,ADI 0-27 mg/kg,"E1127,INS 1127"
Food Additive E1128,INS 1128,Food Color,Food coloring agent,Minimal,Generally considered safe in food amounts,ADI not specified,"E1128,INS 1128"
Food Additive E1129,INS 1129,Food Color,Food coloring agent,Low,Generally considered safe in food amounts,ADI 0-29 mg/kg,"E1129,INS 1129"
Food Additive E1130,INS 1130,Food Color,Food coloring agent,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1130,INS 1130"
Food Additive E1131,INS 1131,Food Color,Food coloring agent,High,May cause health issues in sensitive individuals,ADI 0-31 mg/kg,"E1131,INS 1131"
Food Additive E1132,INS 1132,Food Color,Food coloring agent,Minimal,Generally considered safe in food amounts,ADI not specified,"E1132,INS 1132"
Food Additive E1133,INS 1133,Food Color,Food coloring agent,Low,Generally considered safe in food amounts,ADI 0-33 mg/kg,"E1133,INS 1133"
Food Additive E1134,INS 1134,Food Color,Food coloring agent,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1134,INS 1134"
Food Additive E1135,INS 1135,Food Color,Food coloring agent,High,May cause health issues in sensitive individuals,ADI 0-35 mg/kg,"E1135,INS 1135"
Food Additive E1136,INS 1136,Food Color,Food coloring agent,Minimal,Generally considered safe in food amounts,ADI not specified,"E1136,INS 1136"
Food Additive E1137,INS 1137,Food Color,Food coloring agent,Low,Generally considered safe in food amounts,ADI 0-37 mg/kg,"E1137,INS 1137"
Food Additive E1138,INS 1138,Food Color,Food coloring agent,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1138,INS 1138"
Food Additive E1139,INS 1139,Food Color,Food coloring agent,High,May cause health issues in sensitive individuals,ADI 0-39 mg/kg,"E1139,INS 1139"
Food Additive E1140,INS 1140,Food Color,Food coloring agent,Minimal,Generally considered safe in food amounts,ADI not specified,"E1140,INS 1140"
Food Additive E1141,INS 1141,Food Color,Food coloring agent,Low,Generally considered safe in food amounts,ADI 0-41 mg/kg,"E1141,INS 1141"
Food Additive E1142,INS 1142,Food Color,Food coloring agent,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1142,INS 1142"
Food Additive E1143,INS 1143,Food Color,Food coloring agent,High,May cause health issues in sensitive individuals,ADI 0-43 mg/kg,"E1143,INS 1143"
Food Additive E1144,INS 1144,Food Color,Food coloring agent,Minimal,Generally considered safe in food amounts,ADI not specified,"E1144,INS 1144"
Food Additive E1145,INS 1145,Food Color,Food coloring agent,Low,Generally considered safe in food amounts,ADI 0-45 mg/kg,"E1145,INS 1145"
Food Additive E1146,INS 1146,Food Color,Food coloring agent,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1146,INS 1146"
Food Additive E1147,INS 1147,Food Color,Food coloring agent,High,May cause health issues in sensitive individuals,ADI 0-47 mg/kg,"E1147,INS 1147"
Food Additive E1148,INS 1148,Food Color,Food coloring agent,Minimal,Generally considered safe in food amounts,ADI not specified,"E1148,INS 1148"
Food Additive E1149,INS 1149,Food Color,Food coloring agent,Low,Generally considered safe in food amounts,ADI 0-49 mg/kg,"E1149,INS 1149"
Food Additive E1150,INS 1150,Food Color,Food coloring agent,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1150,INS 1150"
Food Additive E1151,INS 1151,Food Color,Food coloring agent,High,May cause health issues in sensitive individuals,ADI 0-51 mg/kg,"E1151,INS 1151"
Food Additive E1152,INS 1152,Food Color,Food coloring agent,Minimal,Generally considered safe in food amounts,ADI not specified,"E1152,INS 1152"
Food Additive E1153,INS 1153,Food Color,Food coloring agent,Low,Generally considered safe in food amounts,ADI 0-53 mg/kg,"E1153,INS 1153"
Food Additive E1154,INS 1154,Food Color,Food coloring agent,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1154,INS 1154"
Food Additive E1155,INS 1155,Food Color,Food coloring agent,High,May cause health issues in sensitive individuals,ADI 0-55 mg/kg,"E1155,INS 1155"
Food Additive E1156,INS 1156,Food Color,Food coloring agent,Minimal,Generally considered safe in food amounts,ADI not specified,"E1156,INS 1156"
Food Additive E1157,INS 1157,Food Color,Food coloring agent,Low,Generally considered safe in food amounts,ADI 0-57 mg/kg,"E1157,INS 1157"
Food Additive E1158,INS 1158,Food Color,Food coloring agent,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1158,INS 1158"
Food Additive E1159,INS 1159,Food Color,Food coloring agent,High,May cause health issues in sensitive individuals,ADI 0-59 mg/kg,"E1159,INS 1159"
Food Additive E1160,INS 1160,Food Color,Food coloring agent,Minimal,Generally considered safe in food amounts,ADI not specified,"E1160,INS 1160"
Food Additive E1161,INS 1161,Food Color,Food coloring agent,Low,Generally considered safe in food amounts,ADI 0-61 mg/kg,"E1161,INS 1161"
Food Additive E1162,INS 1162,Food Color,Food coloring agent,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1162,INS 1162"
Food Additive E1163,INS 1163,Food Color,Food coloring agent,High,May cause health issues in sensitive individuals,ADI 0-63 mg/kg,"E1163,INS 1163"
Food Additive E1164,INS 1164,Food Color,Food coloring agent,Minimal,Generally considered safe in food amounts,ADI not specified,"E1164,INS 1164"
Food Additive E1165,INS 1165,Food Color,Food coloring agent,Low,Generally considered safe in food amounts,ADI 0-65 mg/kg,"E1165,INS 1165"
Food Additive E1166,INS 1166,Food Color,Food coloring agent,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1166,INS 1166"
Food Additive E1167,INS 1167,Food Color,Food coloring agent,High,May cause health issues in sensitive individuals,ADI 0-67 mg/kg,"E1167,INS 1167"
Food Additive E1168,INS 1168,Food Color,Food coloring agent,Minimal,Generally considered safe in food amounts,ADI not specified,"E1168,INS 1168"
Food Additive E1169,INS 1169,Food Color,Food coloring agent,Low,Generally considered safe in food amounts,ADI 0-69 mg/kg,"E1169,INS 1169"
Food Additive E1170,INS 1170,Food Color,Food coloring agent,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1170,INS 1170"
Food Additive E1171,INS 1171,Food Color,Food coloring agent,High,May cause health issues in sensitive individuals,ADI 0-71 mg/kg,"E1171,INS 1171"
Food Additive E1172,INS 1172,Food Color,Food coloring agent,Minimal,Generally considered safe in food amounts,ADI not specified,"E1172,INS 1172"
Food Additive E1173,INS 1173,Food Color,Food coloring agent,Low,Generally considered safe in food amounts,ADI 0-73 mg/kg,"E1173,INS 1173"
Food Additive E1174,INS 1174,Food Color,Food coloring agent,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1174,INS 1174"
Food Additive E1175,INS 1175,Food Color,Food coloring agent,High,May cause health issues in sensitive individuals,ADI 0-75 mg/kg,"E1175,INS 1175"
Food Additive E1176,INS 1176,Food Color,Food coloring agent,Minimal,Generally considered safe in food amounts,ADI not specified,"E1176,INS 1176"
Food Additive E1177,INS 1177,Food Color,Food coloring agent,Low,Generally considered safe in food amounts,ADI 0-77 mg/kg,"E1177,INS 1177"
Food Additive E1178,INS 1178,Food Color,Food coloring agent,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1178,INS 1178"
Food Additive E1179,INS 1179,Food Color,Food coloring agent,High,May cause health issues in sensitive individuals,ADI 0-79 mg/kg,"E1179,INS 1179"
Food Additive E1180,INS 1180,Food Color,Food coloring agent,Minimal,Generally considered safe in food amounts,ADI not specified,"E1180,INS 1180"
Food Additive E1181,INS 1181,Food Color,Food coloring agent,Low,Generally considered safe in food amounts,ADI 0-81 mg/kg,"E1181,INS 1181"
Food Additive E1182,INS 1182,Food Color,Food coloring agent,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1182,INS 1182"
Food Additive E1183,INS 1183,Food Color,Food coloring agent,High,May cause health issues in sensitive individuals,ADI 0-83 mg/kg,"E1183,INS 1183"
Food Additive E1184,INS 1184,Food Color,Food coloring agent,Minimal,Generally considered safe in food amounts,ADI not specified,"E1184,INS 1184"
Food Additive E1185,INS 1185,Food Color,Food coloring agent,Low,Generally considered safe in food amounts,ADI 0-85 mg/kg,"E1185,INS 1185"
Food Additive E1186,INS 1186,Food Color,Food coloring agent,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1186,INS 1186"
Food Additive E1187,INS 1187,Food Color,Food coloring agent,High,May cause health issues in sensitive individuals,ADI 0-87 mg/kg,"E1187,INS 1187"
Food Additive E1188,INS 1188,Food Color,Food coloring agent,Minimal,Generally considered safe in food amounts,ADI not specified,"E1188,INS 1188"
Food Additive E1189,INS 1189,Food Color,Food coloring agent,Low,Generally considered safe in food amounts,ADI 0-89 mg/kg,"E1189,INS 1189"
Food Additive E1190,INS 1190,Food Color,Food coloring agent,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1190,INS 1190"
Food Additive E1191,INS 1191,Food Color,Food coloring agent,High,May cause health issues in sensitive individuals,ADI 0-91 mg/kg,"E1191,INS 1191"
Food Additive E1192,INS 1192,Food Color,Food coloring agent,Minimal,Generally considered safe in food amounts,ADI not specified,"E1192,INS 1192"
Food Additive E1193,INS 1193,Food Color,Food coloring agent,Low,Generally considered safe in food amounts,ADI 0-93 mg/kg,"E1193,INS 1193"
Food Additive E1194,INS 1194,Food Color,Food coloring agent,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1194,INS 1194"
Food Additive E1195,INS 1195,Food Color,Food coloring agent,High,May cause health issues in sensitive individuals,ADI 0-95 mg/kg,"E1195,INS 1195"
Food Additive E1196,INS 1196,Food Color,Food coloring agent,Minimal,Generally considered safe in food amounts,ADI not specified,"E1196,INS 1196"
Food Additive E1197,INS 1197,Food Color,Food coloring agent,Low,Generally considered safe in food amounts,ADI 0-97 mg/kg,"E1197,INS 1197"
Food Additive E1198,INS 1198,Food Color,Food coloring agent,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1198,INS 1198"
Food Additive E1199,INS 1199,Food Color,Food coloring agent,High,May cause health issues in sensitive individuals,ADI 0-99 mg/kg,"E1199,INS 1199"
Food Additive E1205,INS 1205,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-5 mg/kg,"E1205,INS 1205"
Food Additive E1206,INS 1206,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1206,INS 1206"
Food Additive E1207,INS 1207,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-7 mg/kg,"E1207,INS 1207"
Food Additive E1208,INS 1208,Preservative,Food preservation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1208,INS 1208"
Food Additive E1209,INS 1209,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-9 mg/kg,"E1209,INS 1209"
Food Additive E1210,INS 1210,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1210,INS 1210"
Food Additive E1211,INS 1211,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-11 mg/kg,"E1211,INS 1211"
Food Additive E1212,INS 1212,Preservative,Food preservation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1212,INS 1212"
Food Additive E1213,INS 1213,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-13 mg/kg,"E1213,INS 1213"
Food Additive E1214,INS 1214,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1214,INS 1214"
Food Additive E1215,INS 1215,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-15 mg/kg,"E1215,INS 1215"
Food Additive E1216,INS 1216,Preservative,Food preservation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1216,INS 1216"
Food Additive E1217,INS 1217,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-17 mg/kg,"E1217,INS 1217"
Food Additive E1218,INS 1218,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1218,INS 1218"
Food Additive E1219,INS 1219,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-19 mg/kg,"E1219,INS 1219"
Food Additive E1220,INS 1220,Preservative,Food preservation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1220,INS 1220"
Food Additive E1221,INS 1221,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-21 mg/kg,"E1221,INS 1221"
Food Additive E1222,INS 1222,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1222,INS 1222"
Food Additive E1223,INS 1223,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-23 mg/kg,"E1223,INS 1223"
Food Additive E1224,INS 1224,Preservative,Food preservation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1224,INS 1224"
Food Additive E1225,INS 1225,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-25 mg/kg,"E1225,INS 1225"
Food Additive E1226,INS 1226,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1226,INS 1226"
Food Additive E1227,INS 1227,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-27 mg/kg,"E1227,INS 1227"
Food Additive E1228,INS 1228,Preservative,Food preservation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1228,INS 1228"
Food Additive E1229,INS 1229,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-29 mg/kg,"E1229,INS 1229"
Food Additive E1230,INS 1230,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1230,INS 1230"
Food Additive E1231,INS 1231,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-31 mg/kg,"E1231,INS 1231"
Food Additive E1232,INS 1232,Preservative,Food preservation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1232,INS 1232"
Food Additive E1233,INS 1233,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-33 mg/kg,"E1233,INS 1233"
Food Additive E1234,INS 1234,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1234,INS 1234"
Food Additive E1235,INS 1235,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-35 mg/kg,"E1235,INS 1235"
Food Additive E1236,INS 1236,Preservative,Food preservation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1236,INS 1236"
Food Additive E1237,INS 1237,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-37 mg/kg,"E1237,INS 1237"
Food Additive E1238,INS 1238,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1238,INS 1238"
Food Additive E1239,INS 1239,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-39 mg/kg,"E1239,INS 1239"
Food Additive E1240,INS 1240,Preservative,Food preservation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1240,INS 1240"
Food Additive E1241,INS 1241,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-41 mg/kg,"E1241,INS 1241"
Food Additive E1242,INS 1242,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1242,INS 1242"
Food Additive E1243,INS 1243,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-43 mg/kg,"E1243,INS 1243"
Food Additive E1244,INS 1244,Preservative,Food preservation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1244,INS 1244"
Food Additive E1245,INS 1245,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-45 mg/kg,"E1245,INS 1245"
Food Additive E1246,INS 1246,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1246,INS 1246"
Food Additive E1247,INS 1247,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-47 mg/kg,"E1247,INS 1247"
Food Additive E1248,INS 1248,Preservative,Food preservation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1248,INS 1248"
Food Additive E1249,INS 1249,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-49 mg/kg,"E1249,INS 1249"
Food Additive E1250,INS 1250,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1250,INS 1250"
Food Additive E1251,INS 1251,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-51 mg/kg,"E1251,INS 1251"
Food Additive E1252,INS 1252,Preservative,Food preservation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1252,INS 1252"
Food Additive E1253,INS 1253,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-53 mg/kg,"E1253,INS 1253"
Food Additive E1254,INS 1254,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1254,INS 1254"
Food Additive E1255,INS 1255,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-55 mg/kg,"E1255,INS 1255"
Food Additive E1256,INS 1256,Preservative,Food preservation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1256,INS 1256"
Food Additive E1257,INS 1257,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-57 mg/kg,"E1257,INS 1257"
Food Additive E1258,INS 1258,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1258,INS 1258"
Food Additive E1259,INS 1259,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-59 mg/kg,"E1259,INS 1259"
Food Additive E1260,INS 1260,Preservative,Food preservation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1260,INS 1260"
Food Additive E1261,INS 1261,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-61 mg/kg,"E1261,INS 1261"
Food Additive E1262,INS 1262,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1262,INS 1262"
Food Additive E1263,INS 1263,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-63 mg/kg,"E1263,INS 1263"
Food Additive E1264,INS 1264,Preservative,Food preservation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1264,INS 1264"
Food Additive E1265,INS 1265,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-65 mg/kg,"E1265,INS 1265"
Food Additive E1266,INS 1266,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1266,INS 1266"
Food Additive E1267,INS 1267,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-67 mg/kg,"E1267,INS 1267"
Food Additive E1268,INS 1268,Preservative,Food preservation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1268,INS 1268"
Food Additive E1269,INS 1269,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-69 mg/kg,"E1269,INS 1269"
Food Additive E1270,INS 1270,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1270,INS 1270"
Food Additive E1271,INS 1271,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-71 mg/kg,"E1271,INS 1271"
Food Additive E1272,INS 1272,Preservative,Food preservation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1272,INS 1272"
Food Additive E1273,INS 1273,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-73 mg/kg,"E1273,INS 1273"
Food Additive E1274,INS 1274,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1274,INS 1274"
Food Additive E1275,INS 1275,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-75 mg/kg,"E1275,INS 1275"
Food Additive E1276,INS 1276,Preservative,Food preservation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1276,INS 1276"
Food Additive E1277,INS 1277,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-77 mg/kg,"E1277,INS 1277"
Food Additive E1278,INS 1278,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1278,INS 1278"
Food Additive E1279,INS 1279,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-79 mg/kg,"E1279,INS 1279"
Food Additive E1280,INS 1280,Preservative,Food preservation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1280,INS 1280"
Food Additive E1281,INS 1281,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-81 mg/kg,"E1281,INS 1281"
Food Additive E1282,INS 1282,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1282,INS 1282"
Food Additive E1283,INS 1283,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-83 mg/kg,"E1283,INS 1283"
Food Additive E1284,INS 1284,Preservative,Food preservation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1284,INS 1284"
Food Additive E1285,INS 1285,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-85 mg/kg,"E1285,INS 1285"
Food Additive E1286,INS 1286,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1286,INS 1286"
Food Additive E1287,INS 1287,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-87 mg/kg,"E1287,INS 1287"
